"customerkey","geographykey","customeralternatekey","birthdate","maritalstatus","gender","yearlyincome","totalchildren","englisheducation","englishoccupation","numbercarsowned","datefirstpurchase","commutedistance","fullname","customerage","city","stateprovincename","englishcountryregionname","postalcode"
15455,189,"AW00015455","1945-10-07","S","F","10000.00",2,"Partial College","Manual",1,"2021-07-08","0-1 Miles","Denise F Raman",78,"Roubaix","Nord","France","59100"
15456,175,"AW00015456","1946-04-13","S","M","20000.00",1,"Bachelors","Clerical",0,"2021-01-20","0-1 Miles","Donald Suri",78,"Saarlouis","Saarland","Germany","66740"
15457,171,"AW00015457","1946-08-28","M","F","20000.00",1,"Partial College","Manual",0,"2020-12-31","0-1 Miles","Adriana S Martinez",77,"Neunkirchen","Saarland","Germany","66578"
15458,120,"AW00015458","1953-06-23","M","F","20000.00",1,"Partial College","Manual",0,"2022-08-15","0-1 Miles","Krystal M Ma",71,"Hof","Bayern","Germany","95010"
15459,149,"AW00015459","1947-10-11","M","F","20000.00",1,"Partial College","Manual",0,"2022-06-29","0-1 Miles","Beth Dominguez",76,"Mühlheim","Hamburg","Germany","63151"
15460,173,"AW00015460","1953-02-09","M","F","20000.00",1,"Partial College","Manual",0,"2020-12-29","0-1 Miles","Bethany Nara",71,"Poing","Saarland","Germany","66041"
15461,238,"AW00015461","1947-11-10","M","M","30000.00",1,"Bachelors","Clerical",0,"2022-02-13","0-1 Miles","Alberto R Gutierrez",76,"Gateshead","England","United Kingdom","GA10"
15462,215,"AW00015462","1949-02-23","M","M","10000.00",3,"Partial College","Manual",1,"2021-07-17","0-1 Miles","Tony C Chande",75,"Colombes","Hauts de Seine","France","92700"
15463,216,"AW00015463","1949-05-18","S","M","10000.00",3,"Partial College","Manual",1,"2021-07-25","1-2 Miles","Terrence T Yuan",75,"Courbevoie","Hauts de Seine","France","92400"
15464,22,"AW00015464","1985-10-02","M","F","10000.00",0,"Partial College","Manual",1,"2022-09-06","0-1 Miles","Kristi Blanco",38,"East Brisbane","Queensland","Australia","4169"
15465,34,"AW00015465","1986-03-03","M","F","10000.00",0,"Partial College","Manual",1,"2022-03-02","0-1 Miles","Jacquelyn Navarro",38,"Geelong","Victoria","Australia","3220"
15466,358,"AW00015466","1975-07-08","M","M","50000.00",1,"Bachelors","Skilled Manual",0,"2021-06-02","2-5 Miles","Elijah Perez",49,"San Carlos","California","United States","94070"
15467,301,"AW00015467","1976-01-30","M","M","50000.00",1,"Bachelors","Skilled Manual",1,"2021-06-22","2-5 Miles","Caleb A Shan",48,"Burbank","California","United States","91502"
15468,65,"AW00015468","1976-05-09","M","F","50000.00",1,"Bachelors","Skilled Manual",1,"2022-02-22","0-1 Miles","Emma Foster",48,"Shawnee","British Columbia","Canada","V9B 5T2"
15469,368,"AW00015469","1981-10-24","M","M","60000.00",1,"Graduate Degree","Professional",0,"2022-02-09","0-1 Miles","Fernando L Williams",42,"Santa Cruz","California","United States","95062"
15470,335,"AW00015470","1981-02-17","M","F","60000.00",1,"Graduate Degree","Professional",0,"2022-08-15","0-1 Miles","Hailey M Lopez",43,"Lemon Grove","California","United States","91945"
15471,352,"AW00015471","1974-09-05","S","F","50000.00",2,"Bachelors","Skilled Manual",0,"2021-06-03","2-5 Miles","Destiny D White",49,"Palo Alto","California","United States","94303"
15472,627,"AW00015472","1980-10-14","S","F","50000.00",2,"Bachelors","Skilled Manual",0,"2021-05-31","2-5 Miles","Jennifer B Torres",43,"Marysville","Washington","United States","98270"
15473,312,"AW00015473","1974-10-13","S","F","50000.00",2,"Bachelors","Skilled Manual",0,"2021-05-30","0-1 Miles","Abigail Jenkins",49,"Coronado","California","United States","92118"
15474,300,"AW00015474","1974-10-30","M","M","50000.00",2,"Bachelors","Skilled Manual",0,"2021-06-20","2-5 Miles","Cameron M Lal",49,"Beverly Hills","California","United States","90210"
15475,385,"AW00015475","1980-10-14","S","F","50000.00",2,"Bachelors","Skilled Manual",0,"2021-06-20","0-1 Miles","Kaitlyn S Brooks",43,"Woodland Hills","California","United States","91364"
15476,337,"AW00015476","1975-05-01","S","F","60000.00",1,"Graduate Degree","Professional",0,"2022-01-31","2-5 Miles","Alyssa Powell",49,"Long Beach","California","United States","90802"
15477,310,"AW00015477","1975-02-08","S","M","60000.00",1,"Graduate Degree","Professional",0,"2022-12-14","2-5 Miles","Jose J Adams",49,"Colma","California","United States","94014"
15478,53,"AW00015478","1977-02-15","M","F","60000.00",1,"Graduate Degree","Professional",0,"2022-01-30","0-1 Miles","Melanie B Russell",47,"Metchosin","British Columbia","Canada","V9"
15479,631,"AW00015479","1977-02-17","M","F","60000.00",1,"Graduate Degree","Professional",0,"2022-11-20","0-1 Miles","Andrea Wright",47,"Olympia","Washington","United States","98501"
15480,301,"AW00015480","1977-01-19","M","F","70000.00",2,"Graduate Degree","Professional",0,"2021-07-15","0-1 Miles","Denise K Lopez",47,"Burbank","California","United States","91502"
15481,302,"AW00015481","1982-08-21","S","F","70000.00",2,"Graduate Degree","Professional",0,"2021-07-14","2-5 Miles","Jamie M Zhang",41,"Burlingame","California","United States","94010"
15482,307,"AW00015482","1976-08-07","M","F","70000.00",2,"Graduate Degree","Professional",0,"2021-07-11","2-5 Miles","Audrey L Rubio",47,"Chula Vista","California","United States","91910"
15483,361,"AW00015483","1976-11-04","M","F","70000.00",3,"Graduate Degree","Professional",0,"2021-07-09","0-1 Miles","Katherine Robinson",47,"San Gabriel","California","United States","91776"
15484,383,"AW00015484","1976-12-17","M","M","80000.00",1,"Graduate Degree","Professional",0,"2021-07-22","0-1 Miles","Samuel L Henderson",47,"West Covina","California","United States","91791"
15485,329,"AW00015485","1975-05-19","M","F","60000.00",1,"Graduate Degree","Professional",0,"2022-03-12","2-5 Miles","Jordan Wright",49,"Imperial Beach","California","United States","91932"
15486,553,"AW00015486","1975-03-23","M","M","60000.00",1,"Graduate Degree","Professional",0,"2022-06-21","0-1 Miles","Kevin Griffin",49,"Woodburn","Oregon","United States","97071"
15487,372,"AW00015487","1975-03-09","S","M","60000.00",1,"Graduate Degree","Professional",0,"2022-03-07","2-5 Miles","Jesse Ramirez",49,"Spring Valley","California","United States","91977"
15488,43,"AW00015488","1974-09-24","M","M","60000.00",1,"Graduate Degree","Professional",0,"2022-06-10","0-1 Miles","Evan J Richardson",49,"Burnaby","British Columbia","Canada","V3J 6Z3"
15489,644,"AW00015489","1974-01-23","S","F","60000.00",2,"Bachelors","Skilled Manual",0,"2021-07-06","2-5 Miles","Emily Thompson",50,"Walla Walla","Washington","United States","99362"
15490,60,"AW00015490","1973-08-02","S","F","70000.00",2,"Bachelors","Skilled Manual",0,"2022-07-04","0-1 Miles","Kaitlyn R Rivera",50,"Port Hammond","British Columbia","Canada","V6B 3P7"
15491,403,"AW00015491","1979-04-20","S","F","70000.00",2,"Bachelors","Skilled Manual",1,"2021-06-30","2-5 Miles","Shannon A Li",45,"Clearwater","Florida","United States","33755"
15583,14,"AW00015583","1974-03-28","S","F","70000.00",5,"Bachelors","Professional",3,"2022-06-02","10+ Miles","Lindsey Xu",50,"Rhodes","New South Wales","Australia","2138"
15492,623,"AW00015492","1985-04-14","S","F","70000.00",2,"Bachelors","Skilled Manual",1,"2021-07-06","2-5 Miles","Grace J Long",39,"Kirkland","Washington","United States","98033"
15493,543,"AW00015493","1979-09-16","M","M","70000.00",2,"Bachelors","Skilled Manual",1,"2021-06-30","2-5 Miles","Eric N Chen",44,"Lebanon","Oregon","United States","97355"
15494,69,"AW00015494","1974-05-14","S","F","70000.00",2,"Bachelors","Skilled Manual",1,"2022-02-26","0-1 Miles","Anna D Ross",50,"Victoria","British Columbia","Canada","V8V"
15495,307,"AW00015495","1972-11-14","M","M","40000.00",5,"High School","Skilled Manual",2,"2022-12-29","2-5 Miles","Craig A Alonso",51,"Chula Vista","California","United States","91910"
15496,310,"AW00015496","1973-03-07","S","F","40000.00",5,"High School","Skilled Manual",2,"2022-03-05","2-5 Miles","Kelli V Goel",51,"Colma","California","United States","94014"
15497,347,"AW00015497","1972-09-01","M","F","40000.00",0,"Bachelors","Professional",1,"2021-07-02","0-1 Miles","Katelyn R Phillips",51,"Novato","California","United States","94947"
15498,64,"AW00015498","1975-08-08","M","F","60000.00",1,"Graduate Degree","Professional",0,"2022-02-20","0-1 Miles","Alexandra E Washington",48,"Shawnee","British Columbia","Canada","V9B 2C3"
15499,638,"AW00015499","1976-06-22","M","M","70000.00",3,"Graduate Degree","Professional",0,"2021-07-09","0-1 Miles","Robert Thomas",48,"Sedro Woolley","Washington","United States","98284"
15500,302,"AW00015500","1975-07-25","M","M","70000.00",4,"Graduate Degree","Professional",0,"2021-07-22","0-1 Miles","Keith Raji",48,"Burlingame","California","United States","94010"
15501,310,"AW00015501","1975-12-19","M","M","70000.00",4,"Graduate Degree","Professional",0,"2021-07-29","2-5 Miles","Justin Simmons",48,"Colma","California","United States","94014"
15502,539,"AW00015502","1978-10-15","S","M","40000.00",0,"Bachelors","Professional",1,"2021-07-15","2-5 Miles","Nathaniel C Howard",45,"Corvallis","Oregon","United States","97330"
15503,638,"AW00015503","1978-08-22","S","F","50000.00",2,"Bachelors","Skilled Manual",1,"2021-07-07","2-5 Miles","Caitlin V James",45,"Sedro Woolley","Washington","United States","98284"
15504,618,"AW00015504","1972-09-29","S","M","50000.00",2,"Bachelors","Skilled Manual",1,"2022-05-19","0-1 Miles","Jared M James",51,"Issaquah","Washington","United States","98027"
15505,552,"AW00015505","1972-08-06","S","F","50000.00",2,"Bachelors","Skilled Manual",1,"2022-06-23","0-1 Miles","Gabriella A Bailey",51,"W. Linn","Oregon","United States","97068"
15506,302,"AW00015506","1982-09-20","S","M","60000.00",0,"Graduate Degree","Professional",0,"2021-07-23","2-5 Miles","Evan C Sanders",41,"Burlingame","California","United States","94010"
15507,70,"AW00015507","1972-03-27","M","F","60000.00",0,"Graduate Degree","Professional",0,"2022-01-28","0-1 Miles","Hailey Campbell",52,"Westminster","British Columbia","Canada","V3L 1E7"
15508,626,"AW00015508","1972-02-05","M","F","60000.00",0,"Graduate Degree","Professional",0,"2022-07-23","2-5 Miles","Megan Brooks",52,"Lynnwood","Washington","United States","98036"
15509,648,"AW00015509","1971-08-23","M","M","60000.00",0,"Graduate Degree","Professional",0,"2022-03-15","2-5 Miles","Zachary Washington",52,"Yakima","Washington","United States","98901"
15510,536,"AW00015510","1977-10-20","M","M","70000.00",5,"Graduate Degree","Professional",0,"2022-08-22","2-5 Miles","Ernest She",46,"Beaverton","Oregon","United States","97005"
15511,66,"AW00015511","1974-08-11","M","F","60000.00",2,"Graduate Degree","Professional",0,"2022-04-15","0-1 Miles","Haley Kelly",49,"Sooke","British Columbia","Canada","V0"
15512,607,"AW00015512","1975-01-29","M","M","70000.00",5,"Graduate Degree","Professional",0,"2022-10-23","0-1 Miles","Jose M Hayes",49,"Ballard","Washington","United States","98107"
15513,635,"AW00015513","1975-04-19","S","F","70000.00",5,"Graduate Degree","Professional",2,"2022-08-16","2-5 Miles","Madeline E Perez",49,"Renton","Washington","United States","98055"
15514,644,"AW00015514","1974-11-16","S","F","70000.00",5,"Graduate Degree","Professional",2,"2022-05-27","2-5 Miles","Angela Ramirez",49,"Walla Walla","Washington","United States","99362"
15515,648,"AW00015515","1974-10-08","M","M","70000.00",5,"Graduate Degree","Professional",2,"2022-11-30","2-5 Miles","Carlos K Wright",49,"Yakima","Washington","United States","98901"
15516,307,"AW00015516","1980-10-14","M","M","70000.00",5,"Graduate Degree","Professional",2,"2022-07-03","2-5 Miles","Shaun V Raje",43,"Chula Vista","California","United States","91910"
15517,369,"AW00015517","1980-01-19","S","M","80000.00",3,"Graduate Degree","Professional",0,"2021-07-01","0-1 Miles","Thomas C Edwards",44,"Santa Monica","California","United States","90401"
15518,374,"AW00015518","1975-03-12","M","M","80000.00",3,"Graduate Degree","Professional",0,"2021-07-16","0-1 Miles","Richard A Bryant",49,"Torrance","California","United States","90505"
15519,536,"AW00015519","1927-05-10","M","F","10000.00",4,"Partial High School","Clerical",2,"2022-04-27","0-1 Miles","Jennifer K Evans",97,"Beaverton","Oregon","United States","97005"
15520,312,"AW00015520","1970-12-17","S","F","40000.00",0,"Bachelors","Professional",1,"2021-07-07","0-1 Miles","Desiree Navarro",53,"Coronado","California","United States","92118"
15521,298,"AW00015521","1976-05-21","S","F","80000.00",3,"Bachelors","Skilled Manual",3,"2021-08-03","10+ Miles","Kathryn Deng",48,"Bellflower","California","United States","90706"
15522,547,"AW00015522","1976-09-03","M","M","60000.00",0,"Graduate Degree","Professional",0,"2022-08-17","0-1 Miles","Ethan I Russell",47,"Portland","Oregon","United States","97205"
15523,627,"AW00015523","1969-08-07","S","M","40000.00",0,"Bachelors","Professional",1,"2021-08-07","2-5 Miles","Jonathan Yang",54,"Marysville","Washington","United States","98270"
15524,542,"AW00015524","1975-09-12","M","M","50000.00",4,"Bachelors","Skilled Manual",2,"2022-05-21","2-5 Miles","Dalton M Stone",48,"Lake Oswego","Oregon","United States","97034"
15525,301,"AW00015525","1975-02-08","S","F","50000.00",4,"Bachelors","Skilled Manual",3,"2021-08-01","5-10 Miles","Marie E Gonzalez",49,"Burbank","California","United States","91502"
15526,70,"AW00015526","1969-12-17","S","F","50000.00",4,"Bachelors","Skilled Manual",2,"2022-02-20","0-1 Miles","Isabelle A Flores",54,"Westminster","British Columbia","Canada","V3L 1E7"
15527,329,"AW00015527","1969-10-06","S","F","50000.00",4,"Bachelors","Skilled Manual",2,"2021-08-13","0-1 Miles","Megan C Rivera",54,"Imperial Beach","California","United States","91932"
15528,545,"AW00015528","1979-10-01","M","M","60000.00",4,"Bachelors","Professional",2,"2021-08-19","2-5 Miles","Lucas Ramirez",44,"Milwaukie","Oregon","United States","97222"
15529,626,"AW00015529","1969-01-01","M","M","60000.00",4,"Bachelors","Professional",2,"2021-08-05","2-5 Miles","Jason Allen",55,"Lynnwood","Washington","United States","98036"
15530,66,"AW00015530","1968-09-30","S","F","60000.00",4,"Bachelors","Professional",2,"2022-12-16","0-1 Miles","Madison L Johnson",55,"Sooke","British Columbia","Canada","V0"
15531,610,"AW00015531","1968-12-11","M","M","60000.00",4,"Bachelors","Professional",2,"2021-08-05","2-5 Miles","Calvin A Raji",55,"Bothell","Washington","United States","98011"
15532,307,"AW00015532","1968-08-03","S","M","60000.00",4,"Bachelors","Professional",2,"2021-08-27","2-5 Miles","Marshall Jai",55,"Chula Vista","California","United States","91910"
15533,360,"AW00015533","1979-09-06","S","F","70000.00",0,"Bachelors","Professional",1,"2022-08-19","0-1 Miles","Anna R Richardson",44,"San Francisco","California","United States","94109"
15534,547,"AW00015534","1969-03-21","S","M","70000.00",4,"Bachelors","Professional",2,"2021-08-05","2-5 Miles","Steven Bell",55,"Portland","Oregon","United States","97205"
15535,302,"AW00015535","1969-04-30","M","M","70000.00",4,"Bachelors","Professional",2,"2021-08-23","2-5 Miles","Jordan L Scott",55,"Burlingame","California","United States","94010"
15536,52,"AW00015536","1974-08-09","M","F","60000.00",3,"Graduate Degree","Professional",0,"2022-07-25","0-1 Miles","Victoria A Thomas",49,"Langley","British Columbia","Canada","V3A 4R2"
15537,325,"AW00015537","1968-07-22","M","F","60000.00",3,"Graduate Degree","Professional",0,"2021-08-05","2-5 Miles","Destiny Peterson",55,"Glendale","California","United States","91203"
15538,326,"AW00015538","1969-02-24","S","M","60000.00",3,"Graduate Degree","Professional",0,"2021-08-25","0-1 Miles","Luis Lal",55,"Grossmont","California","United States","91941"
15539,299,"AW00015539","1967-07-23","S","M","70000.00",1,"Bachelors","Professional",1,"2022-10-13","2-5 Miles","Raul Goel",56,"Berkeley","California","United States","94704"
15540,302,"AW00015540","1973-04-04","S","M","70000.00",1,"Bachelors","Professional",1,"2021-08-23","0-1 Miles","Randall C Ortega",51,"Burlingame","California","United States","94010"
15541,352,"AW00015541","1967-10-05","S","F","70000.00",1,"Bachelors","Professional",1,"2022-08-22","2-5 Miles","Zoe J Morris",56,"Palo Alto","California","United States","94303"
15542,301,"AW00015542","1973-04-18","S","F","70000.00",1,"Bachelors","Professional",1,"2021-08-20","0-1 Miles","Andrea L Baker",51,"Burbank","California","United States","91502"
15543,59,"AW00015543","1967-09-23","S","F","70000.00",1,"Bachelors","Professional",1,"2022-04-15","2-5 Miles","Emma P Flores",56,"Oak Bay","British Columbia","Canada","V8P"
15544,325,"AW00015544","1968-06-12","M","M","70000.00",1,"Partial College","Skilled Manual",1,"2022-04-28","2-5 Miles","Thomas J Brown",56,"Glendale","California","United States","91203"
15572,54,"AW00015572","1963-09-16","M","F","60000.00",1,"Bachelors","Professional",1,"2022-07-03","2-5 Miles","Anna B Garcia",60,"N. Vancouver","British Columbia","Canada","V7L 4J4"
15545,307,"AW00015545","1972-02-07","M","F","40000.00",4,"High School","Skilled Manual",2,"2022-07-16","0-1 Miles","Jennifer S Rivera",52,"Chula Vista","California","United States","91910"
15546,552,"AW00015546","1966-11-18","M","M","40000.00",4,"High School","Skilled Manual",3,"2022-12-18","10+ Miles","Robert Z Jenkins",57,"W. Linn","Oregon","United States","97068"
15547,314,"AW00015547","1967-04-05","M","F","60000.00",1,"Partial College","Skilled Manual",1,"2021-08-17","0-1 Miles","Cassidy Wood",57,"Daly City","California","United States","94015"
15548,385,"AW00015548","1966-03-12","M","F","40000.00",4,"High School","Skilled Manual",2,"2021-08-25","2-5 Miles","Morgan J Brooks",58,"Woodland Hills","California","United States","91364"
15549,49,"AW00015549","1972-12-03","S","M","50000.00",0,"Partial College","Skilled Manual",1,"2022-01-11","2-5 Miles","Richard R Davis",51,"Cliffside","British Columbia","Canada","V8Y 1L1"
15550,611,"AW00015550","1978-05-17","S","M","50000.00",0,"Partial College","Skilled Manual",1,"2022-11-29","0-1 Miles","Orlando Alonso",46,"Bremerton","Washington","United States","98312"
15551,612,"AW00015551","1973-01-02","S","F","50000.00",0,"Partial College","Skilled Manual",1,"2021-08-22","2-5 Miles","Kaylee T Gray",51,"Burien","Washington","United States","98168"
15552,631,"AW00015552","1972-12-28","S","M","50000.00",0,"Partial College","Skilled Manual",1,"2021-08-19","2-5 Miles","Tyler C Lewis",51,"Olympia","Washington","United States","98501"
15553,301,"AW00015553","1972-12-08","S","M","60000.00",0,"Graduate Degree","Professional",1,"2021-08-20","0-1 Miles","Ivan Lopez",51,"Burbank","California","United States","91502"
15554,311,"AW00015554","1973-03-01","S","F","60000.00",0,"Graduate Degree","Professional",1,"2021-09-03","0-1 Miles","Zoe L Bailey",51,"Concord","California","United States","94519"
15555,352,"AW00015555","1966-04-22","M","F","60000.00",1,"Partial College","Skilled Manual",1,"2021-09-16","2-5 Miles","Hailey Barnes",58,"Palo Alto","California","United States","94303"
15556,65,"AW00015556","1976-11-08","M","M","60000.00",1,"Partial College","Skilled Manual",1,"2022-03-03","2-5 Miles","Dylan Davis",47,"Shawnee","British Columbia","Canada","V9B 5T2"
15557,348,"AW00015557","1966-02-11","M","M","60000.00",1,"Partial College","Skilled Manual",1,"2021-09-05","0-1 Miles","Nathaniel Murphy",58,"Oakland","California","United States","94611"
15558,633,"AW00015558","1965-09-29","M","F","60000.00",1,"Partial College","Skilled Manual",1,"2021-09-01","2-5 Miles","Hailey Morris",58,"Puyallup","Washington","United States","98371"
15559,49,"AW00015559","1970-05-22","M","M","60000.00",5,"Bachelors","Professional",1,"2022-02-12","2-5 Miles","Devin A Flores",54,"Cliffside","British Columbia","Canada","V8Y 1L1"
15560,611,"AW00015560","1964-09-17","M","F","60000.00",5,"Bachelors","Professional",1,"2022-05-11","2-5 Miles","Gabrielle E Gray",59,"Bremerton","Washington","United States","98312"
15561,543,"AW00015561","1970-01-24","S","M","60000.00",4,"Bachelors","Professional",0,"2021-09-01","2-5 Miles","Angel B Young",54,"Lebanon","Oregon","United States","97355"
15562,611,"AW00015562","1976-04-15","S","F","60000.00",4,"Bachelors","Professional",0,"2021-09-25","2-5 Miles","Kaitlyn I James",48,"Bremerton","Washington","United States","98312"
15563,618,"AW00015563","1970-07-10","M","M","60000.00",4,"Bachelors","Professional",0,"2022-10-05","0-1 Miles","Luke Lopez",54,"Issaquah","Washington","United States","98027"
15564,66,"AW00015564","1970-02-21","M","M","60000.00",4,"Bachelors","Professional",1,"2022-05-28","0-1 Miles","Eduardo Hughes",54,"Sooke","British Columbia","Canada","V0"
15565,616,"AW00015565","1964-08-06","S","M","70000.00",2,"Graduate Degree","Professional",1,"2021-08-29","2-5 Miles","Kyle Mitchell",59,"Everett","Washington","United States","98201"
15566,57,"AW00015566","1970-09-21","M","M","70000.00",2,"Graduate Degree","Professional",1,"2022-07-07","0-1 Miles","Aaron Foster",53,"Newton","British Columbia","Canada","V2M1P1"
15567,49,"AW00015567","1964-12-21","M","F","80000.00",4,"Graduate Degree","Professional",0,"2022-07-22","0-1 Miles","Carmen V Madan",59,"Cliffside","British Columbia","Canada","V8Y 1L1"
15568,325,"AW00015568","1963-07-11","M","M","80000.00",1,"Partial College","Skilled Manual",1,"2021-09-25","2-5 Miles","Aaron A Hayes",61,"Glendale","California","United States","91203"
15569,536,"AW00015569","1974-08-22","M","F","80000.00",1,"Partial College","Skilled Manual",1,"2021-09-16","0-1 Miles","Morgan Ward",49,"Beaverton","Oregon","United States","97005"
15570,372,"AW00015570","1975-02-05","S","F","60000.00",3,"Bachelors","Professional",1,"2021-09-22","0-1 Miles","Brianna L Powell",49,"Spring Valley","California","United States","91977"
15571,65,"AW00015571","1975-03-06","S","M","60000.00",1,"Bachelors","Professional",1,"2022-01-28","2-5 Miles","Angel G Allen",49,"Shawnee","British Columbia","Canada","V9B 5T2"
15573,634,"AW00015573","1969-08-21","S","M","70000.00",5,"Bachelors","Professional",2,"2022-10-05","0-1 Miles","Thomas E Wilson",54,"Redmond","Washington","United States","98052"
15574,383,"AW00015574","1969-01-17","S","M","70000.00",5,"Bachelors","Professional",2,"2023-01-07","0-1 Miles","Carlos B Peterson",55,"West Covina","California","United States","91791"
15575,23,"AW00015575","1985-01-06","M","M","60000.00",2,"Bachelors","Professional",1,"2021-10-29","2-5 Miles","Alvin B Ye",39,"Gold Coast","Queensland","Australia","4217"
15576,9,"AW00015576","1976-03-18","S","F","80000.00",4,"Graduate Degree","Management",1,"2021-11-23","0-1 Miles","Carly J Raje",48,"Milsons Point","New South Wales","Australia","2061"
15577,10,"AW00015577","1975-08-25","M","F","80000.00",4,"Graduate Degree","Management",1,"2022-04-04","0-1 Miles","Mayra E Malhotra",48,"Newcastle","New South Wales","Australia","2300"
15578,35,"AW00015578","1981-08-16","M","F","80000.00",4,"Graduate Degree","Management",1,"2021-11-10","0-1 Miles","Diane Gill",42,"Melbourne","Victoria","Australia","3000"
15579,31,"AW00015579","1973-07-04","S","F","60000.00",2,"Bachelors","Professional",1,"2022-02-09","2-5 Miles","Brittany Coleman",51,"Hobart","Tasmania","Australia","7001"
15580,33,"AW00015580","1979-02-20","M","M","60000.00",2,"Bachelors","Professional",1,"2021-10-28","2-5 Miles","Ruben Raman",45,"Cranbourne","Victoria","Australia","3977"
15581,36,"AW00015581","1973-10-25","S","F","60000.00",2,"Bachelors","Professional",1,"2022-08-09","2-5 Miles","Toni Perez",50,"Melton","Victoria","Australia","3337"
15584,13,"AW00015584","1972-10-14","M","F","70000.00",5,"Bachelors","Professional",3,"2022-03-26","10+ Miles","Christy Raji",51,"Port Macquarie","New South Wales","Australia","2444"
15585,19,"AW00015585","1978-03-05","M","M","70000.00",5,"Bachelors","Professional",3,"2021-11-21","10+ Miles","Roy H Garcia",46,"Wollongong","New South Wales","Australia","2500"
15586,21,"AW00015586","1975-02-24","M","M","110000.00",1,"Graduate Degree","Management",0,"2021-11-26","0-1 Miles","Victor Blanco",49,"Caloundra","Queensland","Australia","4551"
15587,33,"AW00015587","1980-10-10","M","F","110000.00",1,"Graduate Degree","Management",1,"2021-11-18","0-1 Miles","Jessica Ward",43,"Cranbourne","Victoria","Australia","3977"
15588,4,"AW00015588","1980-07-03","M","F","110000.00",1,"Graduate Degree","Management",1,"2021-11-02","2-5 Miles","Kristy Alvarez",44,"Goulburn","New South Wales","Australia","2580"
15589,24,"AW00015589","1974-10-13","M","M","110000.00",1,"Graduate Degree","Management",1,"2021-11-26","2-5 Miles","Gilbert He",49,"Hawthorne","Queensland","Australia","4171"
15590,35,"AW00015590","1974-09-24","M","M","120000.00",1,"Graduate Degree","Management",0,"2021-11-24","0-1 Miles","Marshall J Wu",49,"Melbourne","Victoria","Australia","3000"
15591,37,"AW00015591","1975-03-22","S","M","120000.00",1,"Graduate Degree","Management",2,"2021-11-01","0-1 Miles","Darren P Srini",49,"Seaford","Victoria","Australia","3198"
15592,8,"AW00015592","1983-10-01","M","F","70000.00",5,"Bachelors","Professional",4,"2022-02-02","10+ Miles","Janet L Moreno",40,"Matraville","New South Wales","Australia","2036"
15593,31,"AW00015593","1973-03-18","M","F","70000.00",5,"Bachelors","Professional",4,"2022-03-04","10+ Miles","Naomi A Martin",51,"Hobart","Tasmania","Australia","7001"
15594,4,"AW00015594","1978-03-05","S","F","80000.00",5,"Graduate Degree","Management",2,"2022-12-24","0-1 Miles","Joanna Carlson",46,"Goulburn","New South Wales","Australia","2580"
15595,7,"AW00015595","1971-08-05","M","M","90000.00",0,"Bachelors","Professional",0,"2021-10-28","0-1 Miles","Andre Sanchez",52,"Malabar","New South Wales","Australia","2036"
15596,17,"AW00015596","1971-07-02","S","M","90000.00",2,"Bachelors","Professional",0,"2021-11-24","1-2 Miles","Gilbert Goel",53,"St. Leonards","New South Wales","Australia","2065"
15597,38,"AW00015597","1971-08-06","M","M","90000.00",2,"Bachelors","Professional",0,"2021-11-18","1-2 Miles","Terry Raji",52,"South Melbourne","Victoria","Australia","3205"
15598,16,"AW00015598","1971-04-20","S","F","60000.00",3,"Bachelors","Professional",1,"2022-09-19","5-10 Miles","Tanya I Rubio",53,"Springwood","New South Wales","Australia","2777"
15599,26,"AW00015599","1970-11-18","S","M","60000.00",3,"Bachelors","Professional",2,"2022-04-19","5-10 Miles","Darryl R Ma",53,"Rockhampton","Queensland","Australia","4700"
15600,32,"AW00015600","1974-05-02","M","M","70000.00",5,"Bachelors","Professional",4,"2021-10-30","10+ Miles","Josue R Dominguez",50,"Bendigo","Victoria","Australia","3550"
15601,20,"AW00015601","1979-08-09","M","F","70000.00",5,"Bachelors","Professional",4,"2021-11-22","10+ Miles","Naomi C Moreno",44,"Brisbane","Queensland","Australia","4000"
15602,37,"AW00015602","1979-01-14","S","M","70000.00",0,"Bachelors","Professional",1,"2022-06-22","5-10 Miles","Warren M Wu",45,"Seaford","Victoria","Australia","3198"
15603,13,"AW00015603","1975-09-02","M","M","60000.00",3,"Bachelors","Professional",2,"2022-03-31","5-10 Miles","Philip M Blanco",48,"Port Macquarie","New South Wales","Australia","2444"
15604,31,"AW00015604","1970-06-13","M","M","60000.00",4,"Bachelors","Professional",2,"2022-06-20","0-1 Miles","Clifford Prasad",54,"Hobart","Tasmania","Australia","7001"
15605,3,"AW00015605","1970-02-21","M","M","60000.00",4,"Bachelors","Professional",3,"2022-09-27","10+ Miles","Alan L Yang",54,"Darlinghurst","New South Wales","Australia","2010"
15606,33,"AW00015606","1970-06-10","M","M","60000.00",4,"Bachelors","Professional",3,"2022-02-27","10+ Miles","Marco C Prasad",54,"Cranbourne","Victoria","Australia","3977"
15607,20,"AW00015607","1975-09-19","S","M","70000.00",0,"Bachelors","Professional",1,"2022-11-16","5-10 Miles","Ricky A Gill",48,"Brisbane","Queensland","Australia","4000"
15608,120,"AW00015608","1984-05-10","S","F","30000.00",0,"Partial College","Clerical",1,"2022-08-28","2-5 Miles","Faith A James",40,"Hof","Bayern","Germany","95010"
